,product url,ranking,brand,product name,number of ratings,star rating,price(in dollar),color,compatible devices,connectivity technology,connector type,date first available
0,https://www.amazon.com/All-new-Fire-HD-8-tablet/dp/B099Z8HLHT/ref=zg_bs_g_pc_d_sccl_1/147-5900862-7338908?psc=1,#1,Amazon,"Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, 30% faster processor, designed for portable entertainment, (2022 release), Black","12,280",4.5,64.99,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
1,https://www.amazon.com/Mac-Book-Pro-Charger-Cable%EF%BC%887-2ft/dp/B0B1HJ666G/ref=zg_bs_g_pc_d_sccl_2/147-5900862-7338908?psc=1,#2,Sunveza,"Mac Book Pro Charger - 118W USB C Charger Fast Charger for USB C Port MacBook pro/Air, ipad Pro, Samsung Galaxy and All USB C Device, Include Charge Cable（7.2ft/2.2m）","2,926",4.6,Price data not available,118W MacBook Pro Charger-White,,USB,USB Type C," May 17, 2022 "
2,https://www.amazon.com/Amazon-Fire-Kids-tablet-Top-selling/dp/B0BLBLRLJB/ref=zg_bs_g_pc_d_sccl_3/147-5900862-7338908?psc=1,#3,Amazon,"Amazon Fire 7 Kids tablet, ages 3-7. Top-selling 7"" kids tablet on Amazon - 2022 | ad-free content with parental controls included, 10-hr battery, 16 GB, Blue","14,431",4.5,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
3,https://www.amazon.com/Charger-Computer-Pavilion-Elitebook-touchsmart/dp/B089T1SX32/ref=zg_bs_g_pc_d_sccl_4/147-5900862-7338908?psc=1,#4,HIBBO,Charger for HP Laptop Computer 65W 45W Smart Blue Tip Power Adapter,"2,389",4.7,Price data not available,Black,,Connectivity technology data not available,4.5 x 3.0mm Blue tip," June 8, 2020 "
4,https://www.amazon.com/WiFi-6-Router-Gigabit-Wireless/dp/B08H8ZLKKK/ref=zg_bs_g_pc_d_sccl_5/147-5900862-7338908?psc=1,#5,TP-Link,"TP-Link AX1800 WiFi 6 Router (Archer AX21) – Dual Band Wireless Internet Router, Gigabit Router, Easy Mesh, Works with Alexa - A Certified for Humans Device","17,268",4.3,Price data not available,Color not available,Laptop,"Wi-Fi, Ethernet",Connector type data not available," August 28, 2020 "
5,https://www.amazon.com/Amazon_Fire_HD_10/dp/B0BHZT5S12/ref=zg_bs_g_pc_d_sccl_6/147-5900862-7338908?psc=1,#6,Amazon,"All-new Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Black","2,059",4.5,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
6,https://www.amazon.com/Amazon_Fire_HD_10/dp/B0BL5PYD69/ref=zg_bs_g_pc_d_sccl_7/147-5900862-7338908?psc=1,#7,Amazon,"All-new Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 64 GB, Black","2,059",4.5,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
7,https://www.amazon.com/Charger-Adapter-Compatible-Thunderbolt-Foldable/dp/B08LVD89GV/ref=zg_bs_g_pc_d_sccl_8/147-5900862-7338908?psc=1,#8,IFEART,"Charger for MacBook Air MacBook Pro 13 14 15 16 inch 2023 2022 2021 2020 2019 2018, M1 M2 Laptop 67W USB C Power Adapter, iPad, LED, 6.6FT USB-C Cable Charging as Fast as MagSafe 3, Original Quality","2,679",4.4,Price data not available,white,,USB,USB Type C," November 19, 2020 "
8,https://www.amazon.com/Amazon-Fire-Kids-tablet-Top-selling/dp/B0BLGS645W/ref=zg_bs_g_pc_d_sccl_9/147-5900862-7338908?psc=1,#9,Amazon,"Amazon Fire HD 8 Kids tablet, ages 3-7. Top-selling 8"" kids tablet on Amazon - 2022 | ad-free content with parental controls included, 13-hr battery, 32 GB, Blue","5,936",,Price data not available,Color not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Date first available data not available
9,https://www.amazon.com/WiFi-6-Mesh-System-AX3000/dp/B09PRB1MZM/ref=zg_bs_g_pc_d_sccl_10/147-5900862-7338908?psc=1,#10,TP-Link,"TP-Link Deco AX3000 WiFi 6 Mesh System(Deco X55) - Covers up to 6500 Sq.Ft. , Replaces Wireless Router and Extender, 3 Gigabit ports per unit, supports Ethernet Backhaul (3-pack)","8,048",4.5,Price data not available,Color not available,"Smartphone, Personal Computer, Security Camera, Smart Television, Tablet, Printer, Gaming Console","Wi-Fi, Ethernet",Connector type data not available," January 31, 2022 "
